Technology,2018,2019,2020,2021,2022
JavaScript,71.5%,69.7%,69.7%,68.62%,65.36%
HTML/CSS,69.4%,63.1%,62.4%,55.9%,55.08%
SQL,58.5%,56.5%,56.9%,50.73%,49.43%
Python,37.9%,39.4%,41.6%,41.53%,48.07%
TypeScript,18.3%,23.5%,28.3%,36.42%,34.83%
Java,45.4%,39.2%,38.4%,34.51%,33.27%
Bash/Shell,40.4%,0.00%,0.00%,27.63%,29.07%
C#,35.3%,31.9%,32.3%,29.81%,27.98%
C++,24.6%,20.4%,20.5%,19.94%,22.55%
PHP,31.4%,25.8%,25.8%,22.54%,20.87%
C,22.1%,17.3%,18.2%,16.64%,19.27%
PowerShell,0.00%,0.00%,0.00%,10.96%,12.07%
Go,7.2%,8.8%,9.4%,10.51%,11.15%
Rust,0.00%,3.0%,4.8%,6.4%,9.32%
Kotlin,4.7%,6.6%,8.0%,9.09%,9.16%
Dart,0.00%,1.8%,3.7%,5.97%,6.54%
Ruby,10.3%,8.9%,7.5%,7.89%,6.05%
Assembly,6.9%,5.0%,4.9%,4.07%,5.47%
Swift,8.3%,6.8%,6.1%,5.64%,4.91%
R,6.0%,5.6%,5.5%,3.48%,4.66%
VBA,4.8%,5.5%,6.2%,4.09%,4.48%
MATLAB,0.00%,0.00%,0.00%,0.00%,4.1%
Lua,0.00%,0.00%,0.00%,0.00%,4.03%
Groovy,4.5%,0.00%,0.00%,3.64%,3.32%
Delphi,0.00%,0.00%,0.00%,2.36%,3.25%
Scala,4.5%,4.2%,3.9%,3.06%,2.59%
Objective-C,7.3%,5.2%,4.4%,3.33%,2.39%
Perl,4.2%,0.00%,3.3%,2.42%,2.31%
Haskell,0.00%,0.00%,1.8%,1.7%,2.22%
Elixir,0.00%,1.6%,0.00%,2.09%,2.15%
Julia,0.00%,0.00%,0.9%,0.86%,1.53%
Clojure,0.00%,1.5%,0.00%,2.25%,1.51%
Solidity,0.00%,0.00%,0.00%,0.00%,1.45%
LISP,0.00%,0.00%,0.00%,1.12%,1.31%
F#,0.00%,0.00%,0.00%,1.06%,1.03%
Fortran,0.00%,0.00%,0.00%,0.00%,0.91%
Erlang,0.00%,0.00%,0.00%,0.87%,0.9%
APL,0.00%,0.00%,0.00%,0.47%,0.71%
COBOL,0.00%,0.00%,0.00%,0.49%,0.65%
SAS,0.00%,0.00%,0.00%,0.00%,0.61%
OCaml,0.00%,0.00%,0.00%,0.00%,0.59%
Crystal,0.00%,0.00%,0.00%,0.58%,0.48%
